Date	Price	Open	High	Low	Change %
4-Dec-15	"13,832.00"	"13,832.00"	"13,842.00"	"13,821.00"	-0.08
3-Dec-15	"13,843.50"	"13,801.50"	"13,851.50"	"13,801.50"	0.33
2-Dec-15	"13,797.50"	"13,752.50"	"13,805.50"	"13,737.50"	0.11
1-Dec-15	"13,782.50"	"13,827.50"	"13,837.50"	"13,781.50"	-0.38
30-Nov-15	"13,835.00"	"13,780.00"	"13,850.00"	"13,780.00"	0.4
27-Nov-15	"13,780.00"	"13,735.00"	"13,780.00"	"13,735.00"	0.38
26-Nov-15	"13,728.50"	"13,708.50"	"13,738.50"	"13,708.50"	0.3
25-Nov-15	"13,687.50"	"13,652.50"	"13,707.50"	"13,642.50"	-0.15
24-Nov-15	"13,707.50"	"13,677.50"	"13,732.50"	"13,677.50"	-0.11
23-Nov-15	"13,723.00"	"13,647.00"	"13,723.00"	"13,647.00"	0.5
20-Nov-15	"13,655.00"	"13,705.00"	"13,745.00"	"13,605.00"	-0.89
19-Nov-15	"13,777.50"	"13,752.50"	"13,797.50"	"13,727.50"	-0.16
18-Nov-15	"13,799.50"	"13,710.50"	"13,800.50"	"13,670.50"	0.38
17-Nov-15	"13,747.50"	"13,682.50"	"13,747.50"	"13,682.50"	0.15
16-Nov-15	"13,727.50"	"13,692.50"	"13,742.50"	"13,662.50"	0.46
13-Nov-15	"13,665.00"	"13,595.00"	"13,688.00"	"13,595.00"	0.46
12-Nov-15	"13,602.50"	"13,602.50"	"13,632.50"	"13,552.50"	0
11-Nov-15	"13,602.50"	"13,532.50"	"13,607.50"	"13,532.50"	-0.05
10-Nov-15	"13,609.50"	"13,627.50"	"13,642.50"	"13,592.50"	-0.28
9-Nov-15	"13,647.50"	"13,662.50"	"13,703.50"	"13,627.50"	0.65
6-Nov-15	"13,560.00"	"13,555.00"	"13,565.00"	"13,525.00"	-0.04
5-Nov-15	"13,565.00"	"13,545.00"	"13,645.00"	"13,545.00"	0.07
4-Nov-15	"13,555.00"	"13,465.00"	"13,555.00"	"13,425.00"	0
3-Nov-15	"13,555.00"	"13,580.00"	"13,615.00"	"13,535.00"	-0.82
2-Nov-15	"13,667.50"	"13,652.50"	"13,687.50"	"13,632.50"	-0.15
30-Oct-15	"13,687.50"	"13,562.50"	"13,707.50"	"13,562.50"	0.39
29-Oct-15	"13,635.00"	"13,560.00"	"13,650.00"	"13,515.00"	1.17
28-Oct-15	"13,477.50"	"13,627.50"	"13,640.50"	"13,472.50"	-1.06
27-Oct-15	"13,622.50"	"13,647.50"	"13,647.50"	"13,572.50"	-0.16
26-Oct-15	"13,645.00"	"13,605.00"	"13,680.00"	"13,545.00"	0.07
23-Oct-15	"13,635.00"	"13,555.00"	"13,650.00"	"13,405.00"	-0.16
22-Oct-15	"13,657.50"	"13,727.50"	"13,732.50"	"13,482.50"	-0.43
21-Oct-15	"13,717.00"	"13,680.00"	"13,750.00"	"13,665.00"	0.53
20-Oct-15	"13,645.00"	"13,585.00"	"13,655.00"	"13,585.00"	0.84
19-Oct-15	"13,531.50"	"13,501.50"	"13,571.50"	"13,501.50"	0.01
16-Oct-15	"13,530.00"	"13,480.00"	"13,580.00"	"13,450.00"	0.56
15-Oct-15	"13,455.00"	"13,515.00"	"13,515.00"	"13,215.00"	-1.21
14-Oct-15	"13,619.50"	"13,619.50"	"13,619.50"	"13,619.50"	0
13-Oct-15	"13,619.50"	"13,435.50"	"13,630.50"	"13,435.50"	1.6
12-Oct-15	"13,405.00"	"13,305.00"	"13,485.00"	"13,305.00"	-0.11
9-Oct-15	"13,420.00"	"13,710.00"	"13,820.00"	"13,270.00"	-3.23
8-Oct-15	"13,867.50"	"13,777.50"	"13,882.50"	"13,707.50"	0.31
7-Oct-15	"13,825.00"	"14,185.00"	"14,185.00"	"13,725.00"	-2.95
6-Oct-15	"14,245.50"	"14,464.50"	"14,474.50"	"14,144.50"	-1.72
5-Oct-15	"14,495.00"	"14,630.00"	"14,630.00"	"14,485.00"	-1.01
2-Oct-15	"14,642.50"	"14,692.50"	"14,707.50"	"14,642.50"	-0.19
